Area,Bedrooms,Bathrooms,Balcony,Floor_No,Total_Floors,Carpet_Area,Parking_Count,Maintenance_Cost,City,Property_Type,Quality,Furnishing,Property_Age,Facing,Parking,Gym,Pool,Lift,Security,Garden,Play_Area,Club_House,Power_Backup,Water_Supply,WiFi,Maintenance,Fire_Safety,CCTV,Intercom,Rainwater,Visitor_Parking,Price
1460,3,4,3,6,26,1140,2,5578,Ahmedabad,apartment,high,semi,0-5,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,9062748
3158,2,3,1,14,19,2610,0,3202,Pune,independent,high,unfurnished,0-5,6,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,27024675
1375,3,4,1,16,17,1081,1,1021,Delhi,villa,medium,semi,0-5,6,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,11763593
1478,1,1,0,12,13,1196,0,64,Jaipur,independent,low,unfurnished,20+,7,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,6754610
2463,4,4,0,15,23,2000,0,6242,Ahmedabad,villa,high,full,0-5,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,15424732
1463,3,2,3,3,5,1170,0,1678,Mumbai,apartment,high,full,10-20,5,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,15372597
2638,4,3,2,0,1,2098,1,6776,Mumbai,apartment,low,full,10-20,5,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,31608911
1736,2,1,1,19,20,1389,1,7554,Bangalore,apartment,low,unfurnished,10-20,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,17164164
802,4,5,0,5,24,676,1,197,Delhi,independent,high,unfurnished,0-5,3,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,9183857
1088,1,2,1,7,8,963,0,6616,Hyderabad,independent,high,semi,5-10,2,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,13162512
